no,competency_type_id,level,deskripsi_perilaku,tools_training,kode,topik_training,generated_file_url,generated_pdf_url,generated_at
90,17,4,"Membimbing pelaksanaan instruksi dalam tim,  memastikan kesesuaian dengan prosedur,  dan mendukung kelancaran pelaksanaan tugas unit kerja secara menyeluruh.",", Advanced Coaching for Leaders",M140,Leadership Coaching Advanced,NULL,NULL,NULL
91,17,3,Konsisten melaksanakan instruksi yang rumit atau kompleks dengan baik atau akurat, mengajukan pertanyaan klarifikasi jika diperlukan dan memastikan hasil kerja sesuai dengan yang diharapkan dan standar yang diterapkan.,Error-Proofing with Poka-Yoke,M141,Error-Proofing Techniques,NULL,NULL
92,17,3,Konsisten melaksanakan instruksi yang rumit atau kompleks dengan baik atau akurat, mengajukan pertanyaan klarifikasi jika diperlukan dan memastikan hasil kerja sesuai dengan yang diharapkan dan standar yang diterapkan.,Job Instruction Training (JIT),M142,Effective Job Instruction,NULL,NULL
93,17,2,Melaksanakan instruksi dengan konsisten dalam tugas rutin serta memahami kaitannya dengan hasil kerja yang diharapkan.,PDCA Cycle (Plan–Do–Check–Act),M143,Continuous Improvement with PDCA,NULL,NULL,NULL
94,17,2,Melaksanakan instruksi dengan konsisten dalam tugas rutin serta memahami kaitannya dengan hasil kerja yang diharapkan.,7 Habits of Highly Effective People: Be Proactive,M144,Taking Personal Responsibility,NULL,NULL,NULL
95,17,1,Memahami pentingnya mengikuti instruksi dan prosedur kerja, serta menunjukkan kesediaan untuk menerima arahan dari atasan.,Kaizen Mindset 101,M145,Implementing Kaizen for Efficiency,NULL,NULL
96,17,1,Memahami pentingnya mengikuti instruksi dan prosedur kerja, serta menunjukkan kesediaan untuk menerima arahan dari atasan.,Basic Knowledge of 5S: Shitsuke,M146,5S for Workplace Discipline,NULL,NULL
97,20,4,Menjadi role model dalam menjaga nilai dan prinsip organisasi, mengambil keputusan sulit dengan mempertimbangkan etika, serta mendorong orang lain untuk bersikap jujur dan adil.,Strategic Thinking untuk Manager,M147,Strategic Thinking for Managerial,NULL
98,20,4,"Menjadi role model dalam menjaga nilai dan prinsip organisasi,  mengambil keputusan sulit dengan mempertimbangkan etika,  serta mendorong orang lain untuk bersikap jujur dan adil.",", Ethical Decision Making",M148,Ethical Leadership,NULL,NULL,NULL
99,20,3,"Konsisten bersikap etis dalam situasi yang rumit,  mempertimbangkan dampak moral dari keputusan,  dan tetap melakukan hal yang benar walaupun berisiko secara pribadi.",", Postconventional Moral Thinking",M149,Moral Ethics Behavior,NULL,NULL,NULL
